c0608a-s22.ufhpc
Thu Dec 18 10:35:16 AM EST 2025
/orange/ruogu.fang/junfu.cheng/SMILE/ml_exp/hpo_quicklab_version4_hold_out
Workspace is /orange/ruogu.fang/junfu.cheng/SMILE/ml_exp/hpo_quicklab_version4_hold_out
[    random] t= 100s  evals=    13  best_cv=0.87096  params={'max_depth': 4, 'max_leaf_nodes': 170, 'learning_rate': 0.03867637126517001, 'max_bins': 168, 'min_samples_leaf': 191, 'l2_regularization': 5.172213887758585e-05, 'early_stopping': False, 'validation_fraction': 0.14486386043941196, 'n_estimators': 755}
[    random] t= 115s  evals=    15  best_cv=0.87205  params={'max_depth': 5, 'max_leaf_nodes': 217, 'learning_rate': 0.05025774908254449, 'max_bins': 184, 'min_samples_leaf': 21, 'l2_regularization': 0.0004935954886846896, 'early_stopping': False, 'validation_fraction': 0.18227858627478427, 'n_estimators': 666}
[    random] t= 129s  evals=    18  best_cv=0.87205  params={'max_depth': 5, 'max_leaf_nodes': 217, 'learning_rate': 0.05025774908254449, 'max_bins': 184, 'min_samples_leaf': 21, 'l2_regularization': 0.0004935954886846896, 'early_stopping': False, 'validation_fraction': 0.18227858627478427, 'n_estimators': 666}
[    random] t= 157s  evals=    19  best_cv=0.87205  params={'max_depth': 5, 'max_leaf_nodes': 217, 'learning_rate': 0.05025774908254449, 'max_bins': 184, 'min_samples_leaf': 21, 'l2_regularization': 0.0004935954886846896, 'early_stopping': False, 'validation_fraction': 0.18227858627478427, 'n_estimators': 666}
[    random] t= 178s  evals=    20  best_cv=0.87205  params={'max_depth': 5, 'max_leaf_nodes': 217, 'learning_rate': 0.05025774908254449, 'max_bins': 184, 'min_samples_leaf': 21, 'l2_regularization': 0.0004935954886846896, 'early_stopping': False, 'validation_fraction': 0.18227858627478427, 'n_estimators': 666}
[    random] t= 201s  evals=    21  best_cv=0.87205  params={'max_depth': 5, 'max_leaf_nodes': 217, 'learning_rate': 0.05025774908254449, 'max_bins': 184, 'min_samples_leaf': 21, 'l2_regularization': 0.0004935954886846896, 'early_stopping': False, 'validation_fraction': 0.18227858627478427, 'n_estimators': 666}
[    random] t= 216s  evals=    25  best_cv=0.87205  params={'max_depth': 5, 'max_leaf_nodes': 217, 'learning_rate': 0.05025774908254449, 'max_bins': 184, 'min_samples_leaf': 21, 'l2_regularization': 0.0004935954886846896, 'early_stopping': False, 'validation_fraction': 0.18227858627478427, 'n_estimators': 666}
[    random] t= 228s  evals=    26  best_cv=0.87205  params={'max_depth': 5, 'max_leaf_nodes': 217, 'learning_rate': 0.05025774908254449, 'max_bins': 184, 'min_samples_leaf': 21, 'l2_regularization': 0.0004935954886846896, 'early_stopping': False, 'validation_fraction': 0.18227858627478427, 'n_estimators': 666}
[    random] t= 240s  evals=    27  best_cv=0.87205  params={'max_depth': 5, 'max_leaf_nodes': 217, 'learning_rate': 0.05025774908254449, 'max_bins': 184, 'min_samples_leaf': 21, 'l2_regularization': 0.0004935954886846896, 'early_stopping': False, 'validation_fraction': 0.18227858627478427, 'n_estimators': 666}
[    random] t= 258s  evals=    29  best_cv=0.87205  params={'max_depth': 5, 'max_leaf_nodes': 217, 'learning_rate': 0.05025774908254449, 'max_bins': 184, 'min_samples_leaf': 21, 'l2_regularization': 0.0004935954886846896, 'early_stopping': False, 'validation_fraction': 0.18227858627478427, 'n_estimators': 666}
[    random] t= 268s  evals=    30  best_cv=0.87205  params={'max_depth': 5, 'max_leaf_nodes': 217, 'learning_rate': 0.05025774908254449, 'max_bins': 184, 'min_samples_leaf': 21, 'l2_regularization': 0.0004935954886846896, 'early_stopping': False, 'validation_fraction': 0.18227858627478427, 'n_estimators': 666}
[    random] t= 292s  evals=    31  best_cv=0.87205  params={'max_depth': 5, 'max_leaf_nodes': 217, 'learning_rate': 0.05025774908254449, 'max_bins': 184, 'min_samples_leaf': 21, 'l2_regularization': 0.0004935954886846896, 'early_stopping': False, 'validation_fraction': 0.18227858627478427, 'n_estimators': 666}
[    random] t= 309s  evals=    33  best_cv=0.87205  params={'max_depth': 5, 'max_leaf_nodes': 217, 'learning_rate': 0.05025774908254449, 'max_bins': 184, 'min_samples_leaf': 21, 'l2_regularization': 0.0004935954886846896, 'early_stopping': False, 'validation_fraction': 0.18227858627478427, 'n_estimators': 666}
[    random] t= 328s  evals=    36  best_cv=0.87205  params={'max_depth': 5, 'max_leaf_nodes': 217, 'learning_rate': 0.05025774908254449, 'max_bins': 184, 'min_samples_leaf': 21, 'l2_regularization': 0.0004935954886846896, 'early_stopping': False, 'validation_fraction': 0.18227858627478427, 'n_estimators': 666}
[    random] t= 348s  evals=    37  best_cv=0.87205  params={'max_depth': 5, 'max_leaf_nodes': 217, 'learning_rate': 0.05025774908254449, 'max_bins': 184, 'min_samples_leaf': 21, 'l2_regularization': 0.0004935954886846896, 'early_stopping': False, 'validation_fraction': 0.18227858627478427, 'n_estimators': 666}
[    random] t= 372s  evals=    39  best_cv=0.87205  params={'max_depth': 5, 'max_leaf_nodes': 217, 'learning_rate': 0.05025774908254449, 'max_bins': 184, 'min_samples_leaf': 21, 'l2_regularization': 0.0004935954886846896, 'early_stopping': False, 'validation_fraction': 0.18227858627478427, 'n_estimators': 666}
[    random] t= 395s  evals=    42  best_cv=0.87205  params={'max_depth': 5, 'max_leaf_nodes': 217, 'learning_rate': 0.05025774908254449, 'max_bins': 184, 'min_samples_leaf': 21, 'l2_regularization': 0.0004935954886846896, 'early_stopping': False, 'validation_fraction': 0.18227858627478427, 'n_estimators': 666}
[    random] t= 408s  evals=    44  best_cv=0.87205  params={'max_depth': 5, 'max_leaf_nodes': 217, 'learning_rate': 0.05025774908254449, 'max_bins': 184, 'min_samples_leaf': 21, 'l2_regularization': 0.0004935954886846896, 'early_stopping': False, 'validation_fraction': 0.18227858627478427, 'n_estimators': 666}
[    random] t= 420s  evals=    47  best_cv=0.87205  params={'max_depth': 5, 'max_leaf_nodes': 217, 'learning_rate': 0.05025774908254449, 'max_bins': 184, 'min_samples_leaf': 21, 'l2_regularization': 0.0004935954886846896, 'early_stopping': False, 'validation_fraction': 0.18227858627478427, 'n_estimators': 666}
[    random] t= 432s  evals=    49  best_cv=0.87205  params={'max_depth': 5, 'max_leaf_nodes': 217, 'learning_rate': 0.05025774908254449, 'max_bins': 184, 'min_samples_leaf': 21, 'l2_regularization': 0.0004935954886846896, 'early_stopping': False, 'validation_fraction': 0.18227858627478427, 'n_estimators': 666}
[    random] t= 446s  evals=    51  best_cv=0.87205  params={'max_depth': 5, 'max_leaf_nodes': 217, 'learning_rate': 0.05025774908254449, 'max_bins': 184, 'min_samples_leaf': 21, 'l2_regularization': 0.0004935954886846896, 'early_stopping': False, 'validation_fraction': 0.18227858627478427, 'n_estimators': 666}
[    random] t= 458s  evals=    53  best_cv=0.87205  params={'max_depth': 5, 'max_leaf_nodes': 217, 'learning_rate': 0.05025774908254449, 'max_bins': 184, 'min_samples_leaf': 21, 'l2_regularization': 0.0004935954886846896, 'early_stopping': False, 'validation_fraction': 0.18227858627478427, 'n_estimators': 666}
[    random] t= 485s  evals=    56  best_cv=0.87205  params={'max_depth': 5, 'max_leaf_nodes': 217, 'learning_rate': 0.05025774908254449, 'max_bins': 184, 'min_samples_leaf': 21, 'l2_regularization': 0.0004935954886846896, 'early_stopping': False, 'validation_fraction': 0.18227858627478427, 'n_estimators': 666}
[    random] t= 496s  evals=    57  best_cv=0.87205  params={'max_depth': 5, 'max_leaf_nodes': 217, 'learning_rate': 0.05025774908254449, 'max_bins': 184, 'min_samples_leaf': 21, 'l2_regularization': 0.0004935954886846896, 'early_stopping': False, 'validation_fraction': 0.18227858627478427, 'n_estimators': 666}
[    random] t= 508s  evals=    59  best_cv=0.87205  params={'max_depth': 5, 'max_leaf_nodes': 217, 'learning_rate': 0.05025774908254449, 'max_bins': 184, 'min_samples_leaf': 21, 'l2_regularization': 0.0004935954886846896, 'early_stopping': False, 'validation_fraction': 0.18227858627478427, 'n_estimators': 666}
[    random] t= 524s  evals=    60  best_cv=0.87205  params={'max_depth': 5, 'max_leaf_nodes': 217, 'learning_rate': 0.05025774908254449, 'max_bins': 184, 'min_samples_leaf': 21, 'l2_regularization': 0.0004935954886846896, 'early_stopping': False, 'validation_fraction': 0.18227858627478427, 'n_estimators': 666}
